Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
23199166 - NIKE Mens Zoom Rival D 8 Track Shoes,23199166,Cleats,0,0,0,2,76
23328546 - WARRIOR Mens Gospel Low Lacrosse Cleats,23328546,Cleats,1,0,0,1,6
23328556 - WARRIOR Mens Second Degree Burn 3.0 Mid Lacrosse Cleats,23328556,Cleats,0,0,0,1,3
23501146 - Nike Mens Hypervenom Phelon FG Low Soccer Cleats,23501146,Cleats,1,0,2,0,146
23530796 - Nike Mens Huarache Keystone Mid Baseball Cleats,23530796,Cleats,2,0,0,1,331
23593656 - NIKE Boys Huarache Keystone Mid Baseball Cleats,23593656,Cleats,8,4,1,4,409
23899116 - NIKE Mens Alpha Strike 3/4 TD Football Cleats,23899116,Cleats,0,3,1,0,69
24044546 - NIKE Boys FC247 Jr. Bomba II Low Soccer Shoes,24044546,Cleats,0,0,1,0,53
24044576 - NIKE Boys Tiempo Genio FG Low Soccer Cleats,24044576,Cleats,0,0,1,1,99
24077806 - adidas Mens F50 adiZero TRX FG Low Soccer Cleats,24077806,Cleats,1,1,0,0,5
24103066 - UNDER ARMOUR Mens Highlight Lacrosse Cleats,24103066,Cleats,1,0,0,0,12
24196406 - adidas Mens adiZero 5-Tool 2.5 Mid Baseball Cleats,24196406,Cleats,1,1,0,0,1
24590876 - NIKE Mens Durasport III Golf Shoes,24590876,Cleats,20,19,12,9,392
24590886 - Nike Mens Air Rival III Golf Shoes,24590886,Cleats,2,1,3,3,122
24647546 - FOOTJOY Mens Contour Casual Golf Shoes,24647546,Cleats,1,0,0,0,18
24647556 - FOOTJOY Mens Superlites CT Golf Shoes,24647556,Cleats,1,0,0,0,3
24682616 - RAWLINGS Mens Wind Up Low Baseball Cleats,24682616,Cleats,1,0,0,0,142
24789746 - adidas Mens adiZero One Golf Shoes,24789746,Cleats,5,21,26,38,26
24944806 - Nike Mens Alpha Pro 3/4 Football Cleats,24944806,Cleats,1,4,1,0,49
24945536 - Nike Mens Vapor Strike 4 Low Football Cleats,24945536,Cleats,2,4,2,3,149
24945546 - Nike Mens Vapor Speed Low Football Cleats,24945546,Cleats,0,2,0,0,79
25009136 - NIKE Boys Alpha Shark 3/4 Football Cleats,25009136,Cleats,4,18,0,2,40
25011436 - NIKE Boys Vapor Shark Low Football Cleats,25011436,Cleats,0,12,3,2,346
25114366 - NIKE Mens Vapor Shark Low Football Cleats,25114366,Cleats,1,7,3,3,0
28367166 - UNDER ARMOUR Mens Run N Gun D Mid Football Cleats,28367166,Cleats,0,0,0,1,15
28367756 - adidas Mens Filthyspeed Low D Football Cleats,28367756,Cleats,1,0,0,0,46
28367776 - adidas Mens RG3 Mid Football Cleats,28367776,Cleats,0,11,1,0,15
28462396 - UNDER ARMOUR Mens Blur Phantom MC Low Football Cleats,28462396,Cleats,0,0,0,1,1
28462406 - adidas Boys Filthyquick MD J Mid Football Cleats,28462406,Cleats,0,9,2,0,19
